"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISR","HUR","WOMEN","PC_LF","M","2020-08",4.530745,
"ISR","HUR","WOMEN","PC_LF","M","2020-09",4.188817,
"ISR","HUR","WOMEN","PC_LF","M","2020-10",4.179142,
"CHL","HUR","MEN","PC_LF","M","2020-01",7.552942,
"CHL","HUR","MEN","PC_LF","M","2020-02",7.4752,
"CHL","HUR","MEN","PC_LF","M","2020-03",8.674264,
"CHL","HUR","MEN","PC_LF","M","2020-04",10.92144,
"CHL","HUR","MEN","PC_LF","M","2020-05",11.95035,
"CHL","HUR","MEN","PC_LF","M","2020-06",12.46583,
"CHL","HUR","MEN","PC_LF","M","2020-07",12.52112,
"CHL","HUR","MEN","PC_LF","M","2020-08",12.19049,
"CHL","HUR","MEN","PC_LF","M","2020-09",11.55411,
"KOR","HUR","WOMEN","PC_LF","M","2020-01",4.1,
"KOR","HUR","WOMEN","PC_LF","M","2020-02",3.1,
"KOR","HUR","WOMEN","PC_LF","M","2020-03",3.8,
"KOR","HUR","WOMEN","PC_LF","M","2020-04",3.8,
"KOR","HUR","WOMEN","PC_LF","M","2020-05",4.5,
"KOR","HUR","WOMEN","PC_LF","M","2020-06",4.4,
"KOR","HUR","WOMEN","PC_LF","M","2020-07",4.3,
"KOR","HUR","WOMEN","PC_LF","M","2020-08",3.4,
"KOR","HUR","WOMEN","PC_LF","M","2020-09",4,
"KOR","HUR","WOMEN","PC_LF","M","2020-10",4.1,
"JPN","HUR","MEN","PC_LF","M","2020-01",2.4,
"JPN","HUR","MEN","PC_LF","M","2020-02",2.6,
"JPN","HUR","MEN","PC_LF","M","2020-03",2.7,
"JPN","HUR","MEN","PC_LF","M","2020-04",2.9,
"JPN","HUR","MEN","PC_LF","M","2020-05",3.2,
"JPN","HUR","MEN","PC_LF","M","2020-06",3.1,
"JPN","HUR","MEN","PC_LF","M","2020-07",3,
"JPN","HUR","MEN","PC_LF","M","2020-08",3,
"JPN","HUR","MEN","PC_LF","M","2020-09",3.2,
"JPN","HUR","MEN","PC_LF","M","2020-10",3.4,
"COL","HUR","WOMEN","PC_LF","M","2020-01",13.42758,
"COL","HUR","WOMEN","PC_LF","M","2020-02",14.40004,
"COL","HUR","WOMEN","PC_LF","M","2020-03",15.68767,
"COL","HUR","WOMEN","PC_LF","M","2020-04",24.95421,
"COL","HUR","WOMEN","PC_LF","M","2020-05",25.59659,
"COL","HUR","WOMEN","PC_LF","M","2020-06",25.66746,
"COL","HUR","WOMEN","PC_LF","M","2020-07",25.52422,
"COL","HUR","WOMEN","PC_LF","M","2020-08",22.14578,
"COL","HUR","WOMEN","PC_LF","M","2020-09",21.88144,
"KOR","HUR","MEN","PC_LF","M","2020-01",3.9,
"KOR","HUR","MEN","PC_LF","M","2020-02",3.4,
"KOR","HUR","MEN","PC_LF","M","2020-03",3.8,
"KOR","HUR","MEN","PC_LF","M","2020-04",3.8,
"KOR","HUR","MEN","PC_LF","M","2020-05",4.5,
"KOR","HUR","MEN","PC_LF","M","2020-06",4.3,
"KOR","HUR","MEN","PC_LF","M","2020-07",4.1,
"KOR","HUR","MEN","PC_LF","M","2020-08",3,
"KOR","HUR","MEN","PC_LF","M","2020-09",3.8,
"KOR","HUR","MEN","PC_LF","M","2020-10",4.2,
"CAN","HUR","WOMEN","PC_LF","M","2020-01",5.3,
"CAN","HUR","WOMEN","PC_LF","M","2020-02",5.3,
"CAN","HUR","WOMEN","PC_LF","M","2020-03",8.7,
"CAN","HUR","WOMEN","PC_LF","M","2020-04",13.4,
"CAN","HUR","WOMEN","PC_LF","M","2020-05",14,
"CAN","HUR","WOMEN","PC_LF","M","2020-06",12.7,
"CAN","HUR","WOMEN","PC_LF","M","2020-07",10.4,
"CAN","HUR","WOMEN","PC_LF","M","2020-08",9.5,
"CAN","HUR","WOMEN","PC_LF","M","2020-09",8.5,
"CAN","HUR","WOMEN","PC_LF","M","2020-10",8.5,
"CHL","HUR","WOMEN","PC_LF","M","2020-01",8.848982,
"CHL","HUR","WOMEN","PC_LF","M","2020-02",9.137551,
"CHL","HUR","WOMEN","PC_LF","M","2020-03",9.60645,
"CHL","HUR","WOMEN","PC_LF","M","2020-04",10.83702,
"CHL","HUR","WOMEN","PC_LF","M","2020-05",11.476,
"CHL","HUR","WOMEN","PC_LF","M","2020-06",12.11181,
"CHL","HUR","WOMEN","PC_LF","M","2020-07",11.9247,
"CHL","HUR","WOMEN","PC_LF","M","2020-08",11.63326,
"CHL","HUR","WOMEN","PC_LF","M","2020-09",11.47171,
"ISR","HUR","MEN","PC_LF","M","2020-01",3.471664,
"ISR","HUR","MEN","PC_LF","M","2020-02",3.055623,
"ISR","HUR","MEN","PC_LF","M","2020-03",3.719643,
"ISR","HUR","MEN","PC_LF","M","2020-04",4.014578,
"ISR","HUR","MEN","PC_LF","M","2020-05",4.473848,
"ISR","HUR","MEN","PC_LF","M","2020-06",4.9801,
"ISR","HUR","MEN","PC_LF","M","2020-07",4.945076,
"ISR","HUR","MEN","PC_LF","M","2020-08",5.217221,
"ISR","HUR","MEN","PC_LF","M","2020-09",5.06386,
"ISR","HUR","MEN","PC_LF","M","2020-10",5.204149,
"JPN","HUR","WOMEN","PC_LF","M","2020-01",2.2,
"JPN","HUR","WOMEN","PC_LF","M","2020-02",2.2,
"JPN","HUR","WOMEN","PC_LF","M","2020-03",2.2,
"JPN","HUR","WOMEN","PC_LF","M","2020-04",2.3,
"JPN","HUR","WOMEN","PC_LF","M","2020-05",2.5,
"JPN","HUR","WOMEN","PC_LF","M","2020-06",2.5,
"JPN","HUR","WOMEN","PC_LF","M","2020-07",2.7,
"JPN","HUR","WOMEN","PC_LF","M","2020-08",2.9,
"JPN","HUR","WOMEN","PC_LF","M","2020-09",2.7,
"JPN","HUR","WOMEN","PC_LF","M","2020-10",2.7,
